,"Variable Name","hid","sbsk1","demo","sbsk1_demo","safi_lr04","safi_sr04","subsidy","fullprice","choice","buy","reminder","choice_return","buy_safi_sr04","house_ever_anyfert_04","house_ever_anytreat_04","house_ever_hyb_04","house_ever_anyfert_05","house_ever_anytreat_05","house_ever_hyb_05","house_lastyear_anyfert_04","house_lastyear_anytreat_04","house_lastyear_anyfert_05","house_lastyear_anytreat_05","educ_04","income_04","formalincome_04","mud_walls_04","mud_floor_04","thatch_roof_04","wives_04","gender_04","gender_05","std5parent","std6parent","father_wives_04","bio_sibs_04","sibs_04","own_kids_04","oth_kids_04","kids_04","own_land_04","own_land_rent_04","own_land_rentacres_04","own_land_rentamt_04","rent_land_04","rent_land_acres_04","rent_land_amt_04","anyfert_plus1_05","anyfert_plus2_05","anyfert_plus3_05","anytreat_plus1_05","anytreat_plus2_05","anytreat_plus3_05","ftd_plus1_05","ftd_plus2_05","ftd_plus3_05","fap_plus1_05","fap_plus2_05","fap_plus3_05","hyb_plus1_05","hyb_plus2_05","hyb_plus3_05","man_plus1_05","man_plus2_05","man_plus3_05","qtyfert_plus1_05","qtyfert_plus2_05","qtyfert_plus3_05","acres_plus1_05","acres_plus2_05","acres_plus3_05","ftd_all_plus1_05","ftd_all_plus2_05","ftd_all_plus3_05","fap_all_plus1_05","fap_all_plus2_05","fap_all_plus3_05","hyb_all_plus1_05","hyb_all_plus2_05","hyb_all_plus3_05","bought_anyfert_LR04","bought_DAP_LR04","bought_DAP_kg_LR04","bought_DAP_ksh_LR04","bought_CAN_LR04","bought_CAN_kg_LR04","bought_anyfert_SR04","bought_CAN_ksh_LR04","bought_total_ksh_LR04","bought_DAP_SR04","bought_DAP_kg_SR04","bought_DAP_ksh_SR04","bought_CAN_SR04","bought_CAN_kg_SR04","bought_CAN_ksh_SR04","bought_total_ksh_SR04","safiLR04_what_05","safiSR04_what_05","subsidy_what_05","deliver_date_LR04","sold_maize_gg_LR04","sold_maize_ksh_LR04","deliver_date_SR04","sold_maize_SR04","sold_maize_gg_SR04","sold_maize_ksh_SR04","sold_maize_harv_SR04","sold_maize_harv_gg_SR04","sold_maize_harv_ksh_SR04","remind_bought_fap","remind_bought_ftd","remind_bought_fap_qty","remind_bought_ftd_qty","remind_plan_fap","remind_plan_ftd","remind_planorbuy_fap","remind_planorbuy_ftd","remind_planorbuy_anyfert","school1","school2","school3","school4","school5","school6","school7","school8","school9","school10","school11","school12","school13","school14","school15","school16"
,"Classification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Sub-Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Group Type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Description","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Weight Variable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
,"Format Type","str5","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","float","int","byte","byte","byte","byte","byte","byte","byte","byte","byte","int","byte","int","int","int","float","byte","float","float","byte","float","float","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","float","float","float","float","float","float","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","int","byte","float","byte","int","int","byte","float","int","byte","float","float","float","str3","str3","str3","str8","byte","int","str11","byte","int","int","byte","byte","int","byte","byte","float","int","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte","byte"
,"Decimal","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","7","","7","6","","3","6","","","","","","","","","","","","","","","","","","","1","2","2","2","3","4","","","","","","","","","","","","","","","1","","","","","1","","","1","1","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
,"Interval","TEXT","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","","DISCRETE","","","DISCRETE","","","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","","","","","","","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","","DISCRETE","DISCRETE","DISCRETE","DISCRETE","","DISCRETE","DISCRETE","","","","TEXT","TEXT","TEXT","TEXT","DISCRETE","DISCRETE","TEXT","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE","DISCRETE"
